"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Esteban Solari",70,132,1,1
"Michael Klukowski",69,59,20,1
"Rachid Farssi",65,58,66,1
"Chris McCann",69,57,7,1
"Dudley Campbell",69,36,31,1
"Stephen Quinn",71,42,21,1
"Chris Robertson",63,49,20,1
"Raffaele Schiavi",66,60,10,1
"Lee Tomlin",70,57,3,1
"Giuseppe Aquaro",60,42,29,1
"Luigi Beghetto",61,120,1,1
"Paulo Lopes",69,347,22,1
"Tony",65,46,38,1
"Hugo Valdir",60,52,1,1
"Hugo Morais",66,55,26,1
"Tiago Rosa",57,51,2,1
"Anselmo",68,39,6,1
"Jose Mari",61,47,2,1
"Fabrizio Cacciatore",72,47,63,1
"Simone Farelli",59,297,1,1
"Elkin Soto",72,73,125,1
"Leandro Castan",79,34,71,1
"Lorenzo Del Prete",70,43,2,1
"Drissa Diarra",59,47,48,1
"Stefano Ferrario",65,45,28,1
"Peterson Pecanha",73,357,33,1
"Tiago Valente",65,49,52,2
"Ricardo Pedrinha,27",70,143,5,1
"Cristiano",71,45,26,1
"Ronny Carlos da Silva",66,44,10,1
"Garry Wood",55,100,6,1
"Rodrigues Saulo",67,48,16,1
"Carlitos",66,44,22,1
"Elson",69,54,16,1
"Radamel Falcao",82,43,134,4
"Wason Renteria",69,62,4,1
"Marcinho",73,51,3,1
"Lorenzo Bucchi",57,283,8,1
"Kostadin Hazurov",65,38,23,1
"Stanislav Manolev",70,52,78,2
"Ivan Ivanov",70,49,11,1
"Martin Skrtel",81,44,216,1
"Stilianos Malezas",71,47,21,1
"Aleksander Seliga",67,338,29,1
"Dusan Svento",70,57,14,1
"Marcel Gecov",65,60,18,2
"Lukas Jarolim",68,44,12,1
"Marek Suchy",78,62,75,1
"Dean Hammond",69,59,9,1
"Neil Alexander",64,328,45,1
"Glenn Loovens",68,54,65,2
"Joe Ledley",74,57,144,2
"Isaac Osbourne",60,47,53,1
"Luke Varney",66,60,23,1
"Ben Williams",63,307,55,1
"Billy Jones",71,58,95,1
"Michael Higdon",63,53,149,2
"Ross Turnbull",65,331,27,1
"Philip Chidi Onyemah",64,123,8,1
"Ivan Cordoba",78,48,48,1
"Mark Hudson",67,47,2,1
"Ben Watson",71,47,83,1
"Tom Soares",59,40,13,2
"Julian Speroni",76,379,75,1
"Andrew Davies",67,54,30,1
"Chris Turner",60,53,3,1
"Giles Barnes",71,47,1,1
"Boaz Myhill",72,363,114,1
"Andrew Dawson",57,45,59,1
"Ian Ashbee",65,51,31,1
"Nick Barmby",61,38,19,1
"Matt Duke",60,284,21,1
"Damien Delaney",74,52,97,1
"Craig Fagan",61,48,34,1
"Ryan France",60,39,1,1
"Jimmy Juan",60,50,11,1
"Owen Garvan",66,52,1,1
"Stephen Crainey",65,34,30,1
"Frazer Richardson",62,58,2,1
"Shaun Derry",63,39,37,1
"Richard Cresswell",59,37,12,1
"Matthew Kilgallon",68,63,21,1
"Robbie Blake",63,49,18,1
"Franco Sosa",70,44,37,1
"Rab Douglas",61,303,28,1
"Alan Maybury",58,54,65,1
"Stephen Hughes",63,53,44,1
"Richard Stearman",72,52,66,1
"Tommy Wright",52,110,4,1
"Kevin Foley",66,53,62,1
"Rowan Vine",61,51,27,1
"Dean Brill",66,328,55,1
"Leon Barnett",70,48,28,1
"John Sutton",65,62,149,1
"Jody Morris",64,54,65,1
"Adam Drury",64,49,12,1
"Jason Shackell",75,38,38,1
"Dean Ashton",81,111,3,1
"Paul Gallacher",62,304,101,1
"Jurgen Colin",65,117,20,2
"Joe Lewis",67,331,1,1
"Marc Janko",74,54,57,3
"Frazer Wright",65,54,163,1
"Akos Buzsaky",71,45,10,1
"Matt Derbyshire",65,50,5,1
"Omar Daley",63,45,13,1
"Graham Alexander",64,46,31,1
"Callum Davidson",59,55,42,1
"Youl Mawene",62,53,18,1
"David Nugent",71,70,47,1
"Matthew Hill",60,50,2,1
"Stephen Hunt",64,52,55,1
"Lee Bullen,29",59,120,13,1
"Glenn Whelan",76,66,206,1
"Burton O'Brien",63,140,28,1
"Chris Brunt",68,53,180,1
"Gabriel Agbonlahor",74,45,211,1
"Patrick Kenny,30",63,316,32,1
"Phil Jagielka",81,169,221,1
"Danny Webber",63,48,4,1
"Michael Tonge",65,71,1,1
"Nicky Shorey",61,50,79,1
"Steve Sidwell",73,48,110,1
"Ibrahima Sonko",64,44,16,1
"Glen Little",65,49,4,1
"Leroy Lita",64,48,2,1
"Dave Kitson",64,46,20,1
"Kevin Doyle",68,45,84,1
"Shane Long",75,55,112,1
"Brett Ormerod",66,31,5,1
"Djamel Belmadi",63,150,11,1
"Nathan Dyer",76,61,87,1
"Steve Simonsen",62,311,13,2
"Michael Duberry",60,55,45,1
"Clint Hill",72,57,64,1
"Mamady Sidibe",63,32,34,1
"David Templeton",64,41,53,1
"Seyi Olofinjana",66,42,24,1
"Jody Craddock",64,72,47,1
"Jackie McNamara",60,125,21,1
"Clarke Carlisle",61,51,26,1
"Marlon King",71,59,28,1
"Ashley Young",79,72,185,1
"Hameur Bouazza",70,53,2,1
"Adrian Mariappa",71,52,63,1
"Andy Wilkinson",68,64,101,1
"Martin Paterson",64,56,17,1
"Carl Dickinson",63,43,3,1
"Garry Monk",67,45,22,1
"Lewis Guy",60,55,16,1
"Paul Heffernan",64,48,54,1
"Greg Halford",66,67,12,1
"Wayne Brown",64,55,1,1
"Chris Iwelumo",62,43,2,1
"George Elokobi",62,59,41,1
"Richard Garcia",62,47,27,1
"Steve Banks",58,294,6,1
"Jack Ross",64,128,42,1
"Paul Rachubka",60,303,1,1
"Gary Taylor-Fletcher",67,36,28,1
"Aaron Wilbraham",65,54,3,1
"Michael Nelson",60,61,53,1
"Jon Daly",62,54,112,1
"Andrew Crofts",69,44,13,1
"Matt Jarvis",73,39,163,1
"Caleb Folan",64,51,9,1
"Wes Morgan",78,45,75,1
"Kris Commons",73,5,113,1
"Scott Dobie",59,46,1,1
"James Perch",70,43,40,1
"Felix Bastians",72,51,94,2
"Bradley Orr",65,62,12,1
"Dean Windass",66,129,1,1
"Pierre Wome",72,45,28,1
"Andrew Surman",73,61,65,1
"Jim Goodwin",66,46,137,1
"Marcio Mossoro",74,62,61,1
"Alex Song",78,58,167,2
"Manuel Almunia",71,360,68,1
"Mathieu Flamini",76,38,106,2
"Calvin Zola Makongo",60,54,10,1
"Carl Tremarco",61,50,45,1
"William Haining",54,65,12,1
"Chris Killen",64,50,2,1
"Marc Tierney",66,45,18,1
"Chris Porter",60,57,18,1
"Chris Swailes",60,111,14,1
"Matthew Connolly",70,40,8,1
"Keith Southern",64,41,10,1
"Scott Vernon",61,43,93,1
"Joe Cardle",63,50,28,1
"David Bentley",73,54,39,1
"Patrick Cregg",63,55,59,1
"Graham Stack",58,290,49,1
"Quincy Owusu-Abeyie",72,58,21,3
"Aaron Hughes",70,53,159,1
"Eric Djemba-Djemba",64,36,2,1
"Gareth Barry",79,48,247,1
"Gary Cahill",82,43,230,1
"Gavin McCann",71,38,33,1
"Jlloyd Samuel",70,51,48,1
"Liam Ridgewell",71,55,137,1
"Luke Moore",67,53,10,1
"Steven Davis",76,49,239,2
"Stuart Taylor",66,328,4,1
"Thomas Sorensen",71,355,94,1
"Peter Whittingham",70,50,30,1
"Maik Taylor",66,326,2,1
"Matthew Upson",71,51,107,1
"Mikael Forssell",64,52,13,1
"Daniel Fox",68,54,40,2
"Scott Dann",78,47,157,1
"Sone Aluko",73,50,100,2
"Mark Gower",62,48,9,1
"Walter Pandiani",71,46,41,1
"Cleveland Taylor",61,45,11,1
"Andrew Keogh",67,63,8,1
"Jerel Ifil",63,51,29,1
"Alan Tate",65,56,8,2
"Leon Britton",76,55,105,1
"Aaron Mokoena",68,51,29,1
"Owain Tudor Jones",62,57,40,1
"Tugay Kerimoglou",71,160,12,1
"Morten Gamst Pedersen",68,52,114,1
"Peter Enckelman",59,289,50,1
"Ryan Nelsen",74,45,103,1
"Steven Reid",68,52,63,1
"El Hadji Diouf",66,43,66,2
"Jaroslaw Fojut",68,46,45,2
"Joey O'Brien",68,48,56,1
"Jussi Jaaskelainen",69,348,182,1
"Kevin Nolan",71,60,146,1
"Kevin Davies",60,49,130,1
"Ricardo Vaz Te",70,57,28,2
"Ricardo Gardner",69,49,34,1
"Tal Ben Haim",69,55,39,1
"Bryan Hughes",59,36,1,1
"Goncalo Brandao",72,61,98,2
"Darren Bent",73,44,132,1
"Dean Kiely",63,311,3,1
"Dennis Rommedahl",65,49,20,1
"Hermann Hreidarsson",63,45,35,1
"Jerome Thomas",68,56,53,1
"Robert Elliot",69,346,35,1
"Geremi",72,59,9,1
"Carlo Cudicini",66,333,19,1
"Filipe Oliveira",65,46,7,1
"Joe Keenan",56,132,5,1
"Lassana Diarra",82,51,100,3
"Scott Sinclair",75,62,60,1
"Bjarni Vidarsson",61,48,5,1
"David Weir",69,51,97,1
"Gary Naysmith",61,57,4,1
"Iain Turner",60,314,4,1
"James Beattie",60,36,35,2
"James McFadden",66,42,66,2
"James Vaughan",69,61,2,1
"Joseph Yobo",74,38,46,1
"Lee Carsley",68,31,3,1
"Leon Osman",75,54,180,1
"Mikel Arteta",78,66,161,1
"Per Kroeldrup",70,48,80,2
"Simon Davies",71,47,68,1
"Terry Dunfield",63,49,3,1
"Tony Hibbert",72,69,87,1
"Alan O'Brien",59,45,9,1
